job_title,company_name,size,founded,type,industry,sector
Data Scientist,Activision,1001 to 5000 Employees,1979,Subsidiary or Business Segment,Video Game Publishing,Media & Communication
Staff Data Scientist - Matching Science,Indeed,10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology
United States,Behold Bev AI,,,,,
Data Scientist,Tech Holding,51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology
Data Scientist I,Vibrant Emotional Health,201 to 500 Employees,--,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO
"Allen, TX",SN Cloud Solutions,,,,,
Data Scientist,Dataiku,1001 to 5000 Employees,2013,Company - Private,Software Development,Information Technology
Data Scientist,World Bank Group,10000+ Employees,--,Nonprofit Organization,--,--
Data Scientist - Remote,OneDigital,1001 to 5000 Employees,2000,Company - Private,Insurance Agencies & Brokerages,Insurance
Data Scientist Co-Op (June-Nov 2024),Cohere Health,201 to 500 Employees,2019,Company - Private,Computer Hardware Development,Information Technology
Data Scientist,Commit,51 to 200 Employees,--,Company - Public,--,--
Jr Data Scientist,Veracity Software,51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology
Entry-Level Data Scientist,ON24,501 to 1000 Employees,1998,Company - Public,Computer Hardware Development,Information Technology
California,QuickMD,1 to 50 Employees,--,Contract,--,--
Senior Data Scientist - Ranking Science,Indeed,10000+ Employees,2004,Company - Private,Internet & Web Services,Information Technology
Data Scientist,Jellyfish,1001 to 5000 Employees,2005,Company - Private,Advertising & Public Relations,Media & Communication
United States,Owner,1 to 50 Employees,--,Company - Private,Software Development,Information Technology
Data Scientist,etrailer.com,501 to 1000 Employees,1946,Company - Private,Automotive Parts & Accessories Stores,Retail & Wholesale
Data Scientist,"Technuf, LLC",1 to 50 Employees,--,Unknown,--,--
"Nashville, TN",Embold Health,1 to 50 Employees,--,Company - Private,Health Care Services & Hospitals,Healthcare
Data Scientist (Remote),Abercrombie and Fitch Co.,10000+ Employees,1892,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale
